Submission Date,Creator,Platform,Campaign,Status,Views,Amount Paid,Submission URL
"Nov 7, 2025, 06:34 AM",instagrammer,Instagram,BetOnline/Wild Casino Watermark,Approved,9460,$4.73,https://www.instagram.com/reel/DQwWF9fjWDi/?igsh=cGNjNTN3aDU4NTBr
"Nov 7, 2025, 06:32 AM",instagrammer,Instagram,BetOnline/Wild Casino Watermark,Approved,4709,$0.00,https://www.instagram.com/reel/DQwVxQ3jrZk/?igsh=MXhvdnd3MmJ1dmY0Mg==
"Nov 7, 2025, 05:09 AM",instagrammer,Instagram,BetOnline/Wild Casino Watermark,Approved,4262,$0.00,https://www.instagram.com/reel/DQwMabfDrag/?igsh=dW41Z3Ruc29hcjBv
"Nov 7, 2025, 05:08 AM",instagrammer,Instagram,BetOnline/Wild Casino Watermark,Approved,14974,$7.49,https://www.instagram.com/reel/DQwMPeSDfGg/?igsh=aG9lazFrMmtxM21r
"Nov 7, 2025, 04:06 AM",instagrammer,Instagram,BetOnline/Wild Casino Watermark,Approved,37878,$18.94,https://www.instagram.com/reel/DQwFDvVjpW7/?igsh=MWVnYjAwYzV3YnBlMA==
"Nov 7, 2025, 02:00 AM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,14890,$7.45,https://www.instagram.com/reel/DQv23Jkk8yC/?igsh=MXY1cjBuODVnYXZqbQ==
"Nov 6, 2025, 09:56 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,41438,$20.72,https://www.instagram.com/reel/DQva4vWgZI1/?igsh=MWV4bnZrYWVzZjVrZQ==
"Nov 6, 2025, 09:54 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,41443,$20.72,https://www.instagram.com/reel/DQvaiOoEpY_/?igsh=MWU0ZjRxend5a3Q5ZQ==
"Nov 6, 2025, 09:54 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,30019,$15.01,https://www.instagram.com/reel/DQvajLBEgn6/?igsh=bmF3bm5sb3ZzbGJ0
"Nov 6, 2025, 09:52 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,346041,$173.02,https://www.instagram.com/reel/DQvaFWSAUaN/?igsh=bTV6djZ3emI0Ymxq
"Nov 6, 2025, 09:51 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,3873,$0.00,https://www.instagram.com/reel/DQvaL2TE_q6/?igsh=MWM2b2pha3J1cWZ0bw==
"Nov 6, 2025, 09:36 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,174269,$87.13,https://www.instagram.com/reel/DQvYZxPkjtB/?igsh=b3Npajlqa3B0dzU4
"Nov 6, 2025, 09:29 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,81156,$40.58,https://www.instagram.com/reel/DQvXkqoE1Qn/?igsh=MXAzcnpnNzEwcTlvMQ==
"Nov 6, 2025, 09:29 PM",Chris B,Instagram,BetOnline/Wild Casino Watermark,Approved,172248,$86.12,https://www.instagram.com/reel/DQvXiyVEYdE/?igsh=MThscGczNzI5a2Y2OQ==
"Nov 6, 2025, 07:33 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,143564,$71.78,https://www.instagram.com/reel/DQvKPAgEoim/?igsh=MXR4YWh0bWI1ZDdhag==
"Nov 6, 2025, 06:39 PM",Rich 💲,Instagram,BetOnline/Wild Casino Watermark,Approved,345733,$172.87,https://www.instagram.com/reel/DQvEHIFEjK7/?igsh=bWpzdDZ3amNjenFi
